Age,Gender,O,C,E,A,N,Severity
20,Female,44,42,33,37,22,1
20,Male,34,30,23,28,30,5
21,Female,39,31,22,30,32,5
21,Female,39,33,31,31,26,4
19,Female,39,17,22,25,36,2
20,Female,38,26,29,24,19,2
19,Female,35,24,23,31,29,3
22,Male,33,23,37,27,27,2
19,Male,34,33,24,32,23,4
20,Female,33,32,22,29,31,4
21,Male,43,37,29,27,30,5
21,Female,34,31,20,28,26,4
22,Female,33,37,21,35,24,4
22,Female,32,42,25,37,18,5
21,Male,36,31,19,32,26,3
20,Female,43,37,33,29,26,3
20,Others,36,20,22,31,29,3
21,Male,35,30,21,31,26,4
21,Male,38,25,24,36,19,2
19,Female,43,24,30,35,25,3
19,Female,44,29,20,31,24,2
19,Female,33,24,16,35,28,3
19,Female,40,39,28,30,17,3
19,Female,36,23,32,25,26,5
21,Female,40,27,20,18,27,2
22,Male,32,31,27,35,23,3
19,Female,30,21,19,32,24,3
21,Female,39,30,34,39,19,5
19,Others,38,20,19,28,31,5
19,Female,44,30,20,25,37,5
21,Female,33,29,31,29,30,1
21,Male,34,28,16,23,33,3
18,Female,43,39,21,31,25,1
21,Male,38,29,22,27,27,1
20,Male,48,27,23,33,28,4
21,Male,36,27,18,31,32,5
21,Male,33,25,20,28,19,2
20,Female,40,26,23,25,28,2
22,Male,33,33,26,37,17,3
21,Female,42,28,20,39,19,3
19,Female,39,36,23,27,29,4
21,Male,38,18,18,29,20,3
19,Female,38,27,19,30,31,4
